Goal ID,Goals,Status,Active/Deleted
358431,"I will start the process of working on updating the Bus Operations payments process for all of the current direct contracts BPO's for the monthly invoices, emergency BPO's, Bus Bridge BPO's, the Executive Reports, and including all the spreadsheets for all of the contracted vendors to ensure all information are uptodate, especially with the correct number of mileage per line and or per bus schedule including the 3month current EIA average, the MPG and etc., needs to set correctly.",Completed,Active
358433,"To continue enforcing passengers to visually seek the safe walking route
when getting on/off Amtrak buses, and to/from their luggage. Stanchions
and barrier tapes are displayed along the curb in the LAX bus bays area as
a visible/physical warning on the hazard.",Completed,Active
358434,"In order to keep a smooth operations financially for the Bus Operations. We conduct monthly budget by reviewing with variance to ensure all vendors followup with their payments and reports for any areas that needed corrections. Maria and I are to keep each other inform of things that are constantly changing or needed immediate attention, such as the expirations of the current PO's or BPO's. To make sure enough fund to pay for invoices.",Completed,Active
359649,"TDR
Core Spend
Capital Project",On Track,Deleted
359658," Support achievement of zero engineering employees fatalities or serious injuries in IMCS West
 Exceed FRA Safety Reportable Rate of 3.45 incidents per 200,000 employee hours
 Monitor DashCam incidents, promote defensive driving, address unsafe behaviors in reducing vehicle damage costs by 10%
 Monitor compliance with Spartan, Safety Audits, Semiannual reviews and D&A testing compliance (100%)
 Actively support and participate in Tier I & II Safety Meeting
 Promote SMS, Just Culture ",Completed,Active
359660,"  Monitor FTE’s and Operating and Maintenance budgets to ensure departmental expenses are not exceeded.
  Manage overtime to ensure approved overtime plans are not exceeded vs Approved plan.
  Monitor TPNW to ensure TPNW plans are not exceeded vs Approved plan.
  Capital designated staff time distribution to Capital goal greater than 45% charged to NonCore WBS’s (TDR’s)",Completed,Active
359666," Improve OTP and reduce minutes of delay by quality assurance in all phases of Maintenance, construction,
  and inspection supporting Amtrak’s corporate goals.
  ensure construction material and debris is removed from the ROW in the Maintenance Yard to avoid
   unnecessary infrastructure and equipment damage.
  Work within the collective bargaining agreements to maximize productivity by utilizing all Work rules
   and outsourcing opportunities.
  Support and deliver Superior customer service collaborating with Amtrak Capital deliver, Station
   Services, State partner, Host Railroads and other senior staff from other departments, to develop
   strategies, plans, funding to advance Amtrak’s mission.
  Support the development and working knowledge of your staff in Facility Maintenance, and Project
   Management/construction practices.",Completed,Active
362997,Continue working to Improve my leadership skill,Not Started,Active
363370,Manage capital budget to stay within 10%,Not Started,Active
363375,Work on improving Team presentation to team members or other groups,Not Started,Active
358419,Review weekly VOC surveys and transfer reports to identify outliers Surveys questions and scores changed February/March,Completed,Active
358420,Improve the qualityofservice delivered vias Chat/SMS agents with enhanced scripts and reduce wait time with increased number of concurrency to two chats per agent.,On Track,Deleted
358982,"KPI Metrics  ASA 150 public 
AHT 360 public/Spanish
                      Reduce Transfers",Completed,Active
358983,"VOC Surveys  4% greater
Transfers         7% or less",Not Started,Deleted
359668," Support achievement of zero engineering employees fatalities or serious injuries in IMCS West
 Exceed FRA Safety Reportable Rate of 3.45 incidents per 200,000 employee hours
 Monitor DashCam incidents, promote defensive driving, address unsafe behaviors in reducing vehicle damage costs by 10%
 Monitor compliance with Spartan, Safety Audits, Semiannual reviews and D&A testing compliance (100%)
 Actively support and participate in Tier I & II Safety Meeting
 Promote SMS, Just Culture and Stretching Program in IMCS West collaboratively",Completed,Active
359671,"  Monitor FTE’s and Operating and Maintenance budgets to ensure departmental expenses are not exceeded.
  Manage overtime to ensure approved overtime plans are not exceeded vs Approved plan.
  Monitor TPNW to ensure TPNW plans are not exceeded vs Approved plan.
  Capital designated staff time distribution to Capital goal greater than 40% charged to NonCore WBS’s (TDR’s)",Completed,Active
359674," Improve OTP and reduce minutes of delay by quality assurance in all phases of Maintenance, construction,
  and inspection supporting Amtrak’s corporate goals.
  ensure construction material and debris is removed from the ROW in the Maintenance Yard to avoid
   unnecessary infrastructure and equipment damage.
  Work within the collective bargaining agreements to maximize productivity by utilizing all Work rules
   and outsourcing opportunities.
  Support and deliver Superior customer",Completed,Active
360559,Shift the primary use of the schedule to be forwardlooking/driving project execution:  Nov 2022,On Track,Active
360562,"To improve demand planning for IMCS resources across CAPD, drive the effort to align with Workforce Planning, NEC Program Delivery, IMCS and CAPD Planning/Cost Management on standard IMCS crafts/gangs: Dec 2022",On Track,Active
360565,"Implement weekly/biweekly progress meetings (using Level 5 scheduling tools): 
       Capital Renewal & Major Capital: Feb 2023
       Rest of CAPD: April 2023",On Track,Active
360566,"Implement standard clauses in Terms & Conditions for 3rd party contracts to ensure subcontractors provide appropriate project controls (planning/scheduling, progress measurement/meetings, etc.) and quality requirements on projects: Dec 2022",On Track,Active
360567,"Issue updated Planning & Scheduling procedure and guidelines to include Schedule Levels, baselining, progress measurement, schedule metrics and schedule contingency: Mar 2023",On Track,Active
360568,Implement Schedule Risk Analysis on selected projects: April 2023,On Track,Active
361525,"Maintenance of Equipment Inventory Reduction for the NEC:
        Review replenishment records
        Nonmoving ""C & D"" items/P008 scraps/dispositions
        Support the SIOP process via identifying slowmoving inventory and proceed   with disposition     
        KPI Fill rates (above 95%)",Completed,Active
361530," Ensure the accuracy of Amtrak inventory through annual compliance to SAP,Cycle Count & Physical Inventory Procedures\Policies\Goals. Maintain procedural compliance of net variance of 2% vs. Total Inventory. Pass any\all of the following audits scheduled  E&Y Audits or State Partnership Audits including 3rd party vendors
 Operate within FY22 budget",Completed,Active
361535,Safety: Achieve/beat the 1.7 safety injury rate goal for FY23 via proactive safety stand downs and preemptive actions including development of safety committees for your local plants,Completed,Active
362477,Maintain continuous communication with (Teleperformance)/ Weekly meetings Quarterly performance reviews.,On Track,Deleted
362478,"Ensue vendor (Teleperformance) is updated weekly and or daily on train status while offering text delay messages to our customers have provide to keep the customer up to date on any delays or service situations.  
",On Track,Deleted
362547,Have meeting with customer and discus how we can improve our services,On Track,Deleted
