Word,Points_Weight
many,30
enough,30
Some,30
whole,30
Most,30
sixty,30
One,30
Two,30
Three,30
Four,30
Five,30
Six ,30
Seven,30
Eight,30
Nine,30
Ten,30
Twenty,30
Thirty,30
Forty,30
Fifty,30
Sixty,30
Seventy,30
Eighty,30
Ninety,30
Hundreds,30
Hundred,30
Thousand,30
Several,30
All,30
First,30
all,30
many,30
whole,30
most,30
more,30
Every,30
Completely,30
Totally,30
entirely,30
fully,30
Thousands,30
maximum,30
significant,30
percent,30
1,30
2,30
3,30
4,30
5,30
10,30
20,30
30,30
40,30
50,30
60,30
70,30
80,30
90,30
100,30
January,30
February,30
March,30
April,30
May,30
June,30
July,30
August,30
September,30
October,30
November,30
December,30
by,30
10%,30
20%,30
30%,30
40%,30
50%,30
60%,30
70%,30
80%,30
90%,30
100%,30
within,30
months,30
month ,30
Year,30
